[WARN] Migration 14 statement failed: "database table is locked Unable to fetch row" - SQL: "DROP TABLE IF EXISTS messages"
[WARN] Migration 14 statement failed: "there is already another table or index with this name: messages Unable to execute statement" - SQL: "ALTER TABLE messages_new2 RENAME TO messages"
[DEBUG] WinTaskbar: initialised (stub — ITaskbarList3 not linked)
[DEBUG] UnreadTracker::init loaded 0 entries
[DEBUG] WebRtcEngine: libdatachannel NOT available
[] Using Qt multimedia with FFmpeg version 7.1.3 LGPL version 2.1 or later
[DEBUG] AudioManager: default mic: "Voicemeeter Out B1 (VB-Audio Voicemeeter VAIO)" default speaker: "Voicemeeter AUX Input (VB-Audio Voicemeeter VAIO)"
[DEBUG] VideoManager: initialized
[DEBUG] CallManager: initialized
[WARN] QSystemTrayIcon::setVisible: No Icon set
[WARN] qrc:/qml/shell/TitleBar.qml:138:13: QML Connections: Detected function "onIconTypeChanged" in Connections element. This is probably intended to be a signal handler but no signal of the target matches the name.
[WARN] qrc:/qml/shell/TitleBar.qml:138:13: QML Connections: Detected function "onIconTypeChanged" in Connections element. This is probably intended to be a signal handler but no signal of the target matches the name.
[WARN] qrc:/qml/shell/TitleBar.qml:138:13: QML Connections: Detected function "onIconTypeChanged" in Connections element. This is probably intended to be a signal handler but no signal of the target matches the name.
[DEBUG] TokenManager HTTP 200 OK body: "{\"success\":true,\"data\":{\"access_token\":\"eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiJkNGJiNjk4MS0wMTllLTcwMDAtYjAxMy05ZWViYTQ2YzRkZGYiLCJpYXQiOjE3ODMwODU3NjcsImV4cCI6MTc4MzY5MDU2N30.lZ5jEt_JpPyf8AC"
[DEBUG] ChatStreamClient: connecting to "wss://www.p314.top/ws/connect"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[WARN] ChatPage: sendTextMessage aiUserId=d4bb6988-019e-7000-92ae-55e8a7002b2e convId= text=test
[DEBUG] messagesChanged: reloaded 1 messages for "d4bb6988-019e-7000-92ae-55e8a7002b2e"
[DEBUG] ChatStreamClient: pong timeout, disconnecting
[DEBUG] ChatStreamClient: WebSocket disconnected, closeCode: 1000
[DEBUG] ChatStreamClient: scheduling reconnect in 1000 ms (attempt 0 )
[DEBUG] ChatStreamClient: attempting reconnect (# 1 )
[WARN] ChatService::flushBatch failed: "NETWORK_ERROR" "Network request failed: HTTP 504"
[CRIT] Stream error for d4bb6988-019e-7000-92ae-55e8a7002b2e NETWORK_ERROR Network request failed: HTTP 504
[WARN] qrc:/qml/shell/MainShell.qml:64:9: QML StackView: cannot replace while already in the process of completing a replace
[WARN] qrc:/qml/shell/MainShell.qml:64:9: QML StackView: cannot replace while already in the process of completing a replace
[WARN] qrc:/qml/shell/MainShell.qml:64:9: QML StackView: cannot replace while already in the process of completing a replace
[WARN] qrc:/qml/shell/MainShell.qml:64:9: QML StackView: cannot replace while already in the process of completing a replace
[WARN] qrc:/qml/shell/MainShell.qml:64:9: QML StackView: cannot replace while already in the process of completing a replace
[WARN] qrc:/qml/shell/MainShell.qml:64:9: QML StackView: cannot replace while already in the process of completing a replace
[WARN] qrc:/qml/shell/MainShell.qml:64:9: QML StackView: cannot pop while already in the process of completing a replace
[WARN] qrc:/qml/shell/MainShell.qml:64:9: QML StackView: cannot pop while already in the process of completing a replace
[WARN] qrc:/qml/shell/MainShell.qml:64:9: QML StackView: cannot pop while already in the process of completing a replace
[WARN] qrc:/qml/shell/MainShell.qml:64:9: QML StackView: cannot pop while already in the process of completing a replace
[WARN] qrc:/qml/shell/MainShell.qml:64:9: QML StackView: cannot replace while already in the process of completing a replace
[DEBUG] ChatStreamClient: WebSocket error: "QWebSocketPrivate::processHandshake: 未处理的 http 状态码: 504 (Gateway Time-out)."
[DEBUG] ChatStreamClient: WebSocket disconnected, closeCode: 1000
[DEBUG] ChatStreamClient: scheduling reconnect in 1000 ms (attempt 1 )
[DEBUG] ChatStreamClient: attempting reconnect (# 2 )
[WARN] ChatMessagesModel: failed to load history for "d4bb6988-019e-7000-81f1-f188b433b74f"
[DEBUG] ChatStreamClient: WebSocket error: "QWebSocketPrivate::processHandshake: 未处理的 http 状态码: 504 (Gateway Time-out)."
[DEBUG] ChatStreamClient: WebSocket disconnected, closeCode: 1000
[DEBUG] ChatStreamClient: scheduling reconnect in 1000 ms (attempt 2 )
[DEBUG] ChatStreamClient: attempting reconnect (# 3 )
[WARN] SyncService::syncMessages failed for "d4bb6988-019e-7000-81f1-f188b433b74f" : "NETWORK_ERROR" "Network request failed: HTTP 504"
[DEBUG] ChatStreamClient: WebSocket error: "QWebSocketPrivate::processHandshake: 未处理的 http 状态码: 502 (Bad Gateway)."
[DEBUG] ChatStreamClient: WebSocket disconnected, closeCode: 1000
[DEBUG] ChatStreamClient: scheduling reconnect in 3000 ms (attempt 3 )
[DEBUG] ChatStreamClient: attempting reconnect (# 4 )
[DEBUG] ChatStreamClient: WebSocket error: "QWebSocketPrivate::processHandshake: 未处理的 http 状态码: 502 (Bad Gateway)."
[DEBUG] ChatStreamClient: WebSocket disconnected, closeCode: 1000
[DEBUG] ChatStreamClient: scheduling reconnect in 3000 ms (attempt 4 )
[DEBUG] ChatStreamClient: attempting reconnect (# 5 )
[DEBUG] ChatStreamClient: WebSocket error: "QWebSocketPrivate::processHandshake: 未处理的 http 状态码: 502 (Bad Gateway)."
[DEBUG] ChatStreamClient: WebSocket disconnected, closeCode: 1000
[DEBUG] ChatStreamClient: scheduling reconnect in 30000 ms (attempt 5 )
[WARN] QIODevice::read (QSslSocket): device not open
[DEBUG] ChatStreamClient: attempting reconnect (# 6 )
[DEBUG] ChatStreamClient: WebSocket error: "QWebSocketPrivate::processHandshake: 未处理的 http 状态码: 502 (Bad Gateway)."
[DEBUG] ChatStreamClient: WebSocket disconnected, closeCode: 1000
[DEBUG] ChatStreamClient: scheduling reconnect in 30000 ms (attempt 6 )
[DEBUG] ChatStreamClient: attempting reconnect (# 7 )
[DEBUG] ChatStreamClient: WebSocket error: "QWebSocketPrivate::processHandshake: 未处理的 http 状态码: 502 (Bad Gateway)."
[DEBUG] ChatStreamClient: WebSocket disconnected, closeCode: 1000
[DEBUG] ChatStreamClient: scheduling reconnect in 30000 ms (attempt 7 )
[DEBUG] ChatStreamClient: attempting reconnect (# 8 )
[DEBUG] ChatStreamClient: WebSocket error: "QWebSocketPrivate::processHandshake: 未处理的 http 状态码: 502 (Bad Gateway)."
[DEBUG] ChatStreamClient: WebSocket disconnected, closeCode: 1000
[DEBUG] ChatStreamClient: scheduling reconnect in 30000 ms (attempt 8 )
[DEBUG] ChatStreamClient: attempting reconnect (# 9 )
[DEBUG] ChatStreamClient: WebSocket error: "QWebSocketPrivate::processHandshake: 未处理的 http 状态码: 502 (Bad Gateway)."
[DEBUG] ChatStreamClient: WebSocket disconnected, closeCode: 1000
[DEBUG] ChatStreamClient: scheduling reconnect in 30000 ms (attempt 9 )
